NO	X	Y	Year
178	24.99733	-29.40042	1936.513441
179	21.19057	-29.34747	1956.723118
180	27.492	-29.308	1942.169355
181	-65.056	-29.27	1933.002688
182	26.1454	-29.21511	1933.096774
183	27.461	-29.195	1949.733871
184	26.81894	-29.18851	1936.013441
185	-51.513	-29.172	1956.502688
186	24.767	-29.132	1905.298387
187	24.80095	-29.12397	1936.263441
188	26.22986	-29.11378	1936.435484
189	26.21613	-29.11258	1936.569892
190	26.22025	-29.10898	1905.298387
191	26.22574	-29.10898	1935.975806
192	27.55714	-28.9063	1936.225806
193	28.056	-28.878	1968.002688
194	24.76666667	-28.73333333	1924
195	-49.35	-28.7	1974.752688
196	26.47287	-28.69829	1935.975806
197	26.47302	-28.69827	1926.169355
198	26.46023	-28.68727	1934.862903
199	24.77	-28.66	1935.247312
200	-65.126	-28.637	1933.002688
201	16.487	-28.605	1931.002688
202	25.243	-28.544	1932.836022
203	25.22736	-28.53959	1905.298387
204	27.02637	-28.53627	1930.669355
205	25.22839	-28.53597	1933.096774
206	27.023	-28.52	1926.169355
207	27.01538	-28.5043	1934.88172
208	-64.853	-28.496	1940.836022
209	-65.781	-28.466	1905.301075
210	27.07031	-28.40106	1939.567204
211	-69.216	-28.344	1932.752688
212	27.63613	-28.32803	1936.145161
213	27.626	-28.325	1935.44086
214	27.6	-28.31666667	1916
215	-65.214	-28.203	1933.002688
216	30.159	-28.17	1949.526882
217	27.145	-28.089	1940.306452
218	27.13589	-28.0841	1935.975806
219	-64.235	-27.979	1940.669355
220	27.91489	-27.90038	1935.994624
221	27.928	-27.885	1931.067204
222	-54.452	-27.868	1986.784946
223	24.6	-27.85	1951
224	-65.192	-27.839	1905.301075
225	25.911	-27.836	1926.169355
226	25.91666667	-27.83333333	1916
227	25.93048	-27.83331	1935.077957
228	25.93185	-27.83179	1936.244624
229	-64.269	-27.79	1905.301075
230	24.25781	-27.68353	1926.317204
231	27.235	-27.665	1905.298387
232	27.23247	-27.6582	1935.975806
233	27.23234	-27.65804	1936.435484
234	-65.68	-27.64	1938.669355
235	-66.314	-27.583	1905.301075
236	27.6749	-27.55516	1955
237	27.66666667	-27.55	1955
238	-58.987	-27.457	1926.854839
239	23.429	-27.456	1935.077957
240	23.43796	-27.44613	1936.126344
241	26.625	-27.388	1933.05914
242	26.62075	-27.38221	1935.975806
243	26.62101	-27.38215	1929.344086
244	-66.373	-27.354	1950.169355
245	27.979	-27.284	1931.206989
246	27.97325	-27.27981	1936.72043
247	27.97325	-27.27935	1929.110215
248	27.97308	-27.27767	1929.852151
249	-54.944	-27.262	1947.989247
250	27.577	-27.239	1931.206989
251	27.5956	-27.22044	1951.142473
252	-61.194	-27.217	1928.833333
253	26.956	-27.212	1933.370968
254	25.96666667	-27.2	1924
255	-52.137	-27.078	1982.311828
256	27.37398	-26.99873	1936.051075
257	27.371	-26.997	1929.091398
258	-65.71	-26.97	1928.860215
259	24.71203	-26.94564	1957.41129
260	24.71203	-26.94258	1964.900538
261	20.7	-26.9	1949
262	26.65146	-26.85899	1936.244624
263	27.1	-26.71666667	1917
264	-53.58	-26.67	1973.41129
265	27.969	-26.653	1926.169355
266	-53.62	-26.63	1971.169355
267	28.55072	-26.50315	1938.354839
268	-64.737	-26.498	1940.169355
269	-52.648	-26.474	1975.502688
270	29.465	-26.438	1930.647849
271	26.76	-26.28	1935.072581
272	27.97502	-26.21721	1937.879032
273	27.67387	-26.20227	1949.11828
274	28.08333333	-26.2	1904
275	-58.177	-26.183	1927.505376
276	28.004309	-26.178955	1928.919355
277	26.15998	-26.14814	1935.091398
278	28.3667	-26.13756	1936.72043
279	26.17355	-26.11537	1936.206989
280	27.76666667	-26.1	1924
281	28.2366	-26.08147	1930.032258
282	23.71666667	-25.98333333	1957
283	29.80608	-25.94624	1930.032258
284	-63.892	-25.876	1940.836022
285	25.65	-25.86666667	1901
286	25.652	-25.859	1940.13172
287	28.28514	-25.78283	1930.051075
288	29.472	-25.769	1939.655914
289	28.24487	-25.73967	1949.526882
290	-63.041	-25.718	1932.752688
291	27.24	-25.67	1930.002688
292	27.2509	-25.64338	1935.938172
293	-64.962	-25.502	1905.301075
294	25.86666667	-25.45	1935
295	-48.711	-25.439	1974.586022
296	-57.622	-25.305	1928.518817
297	-49.23	-25.29	1934.061828
298	-57.575926	-25.26374	1899.3
299	-57.489305	-25.25628	1899.6
300	45.822	-25.217	1973.096774
301	46.085	-25.185	1982.435484
302	-65.489	-25.069	1932.752688
303	-50.805	-25.033	1963.002688
304	46.99	-25.032	1926.290323
305	-64.991	-25.023	1928.287634
306	46.28	-24.97	1981.032258
307	-64.27	-24.81	1950.169355
308	-65.408	-24.789	1905.301075
309	-49.699	-24.778	1955.669355
310	-65.66	-24.62	1928.997312
311	-51.344	-24.574	1969.61828
312	46.22	-24.434	1928.169355
313	30.03333333	-24.41666667	1949
314	25.52	-24.402	1933.002688
315	-65.11	-24.383	1933.002688
316	46.708	-24.327	1928.919355
317	-65.21	-24.28	1931.083333
318	-46.326409	-23.95613	1899.4
319	35.388	-23.874	1950.05914
320	-65.808	-23.87	1928.860215
321	-65.47	-23.86	1933.002688
322	47.357	-23.725	1933.419355
323	-47.03	-23.71	1969.602151
324	27.749	-23.668	1938.282258
325	-46.56	-23.62	1961.669355
326	25.823	-23.612	1979.002688
327	-46.73	-23.6	1980.72043
328	-46.633309	-23.55052	1899.5
329	-46.63	-23.55	1926.233871
330	43.894	-23.446	1982.892473
331	-50.356	-23.406	1974.586022
332	43.68	-23.35	1965.002688
333	32.82715	-23.29181	1950.467742
334	-65.55542	-23.28172	1928.997312
335	32.84912	-23.28172	1950.465054
336	-64.279	-23.256	1932.752688
337	-46.82	-23.22	1964.752688
338	-64.093	-23.218	1932.836022
339	-46.82	-23.21	1966.311828
340	44.14	-23.14	1975.25
341	-47.71	-23.09	1952.252688
342	28.558	-23.014	1935.002688
343	-51.651	-22.976	1969.524194
344	-43.54	-22.92	1950.752688
345	-43.17	-22.91	1953.752688
346	-43.172896	-22.906847	1906
347	47.42	-22.86	1975.25
348	-65.883	-22.763	1905.301075
349	46.12	-22.76	1976.989247
350	46.12	-22.75	1967.965054
351	-43.455182	-22.721573	1926.908602
352	-46.357	-22.614	1973.048387
353	46.369	-22.574	1958.247312
354	-47.6	-22.57	1935.002688
355	-63.811	-22.552	1905.301075
356	-42.98	-22.533	1985.209677
357	-47.455	-22.483	1969.548387
358	18.96666667	-22.45	1950
359	-42.964	-22.425	1960.897849
360	166.89	-22.34	1939.169355
361	-42.53	-22.29	1967.352151
362	-63.755	-22.281	1938.669355
363	46.937	-21.835	1960.849462
364	46.94	-21.83	1975.860215
365	-65.239	-21.823	1971.766129
366	48.042	-21.741	1959.244624
367	45.111	-21.716	1959.873656
368	-63.32	-21.71	1938.432796
369	47.162	-21.646	1975.938172
370	47.59	-21.64	1965.989247
371	46.99	-21.63	1975.956989
372	-64.73	-21.57	1938.451613
373	47.042	-21.565	1976.032258
374	-64.731	-21.532	1938.002688
375	-56.145	-21.481	1974.669355
376	47.08	-21.47	1976.107527
377	47.078	-21.46	1947.252688
378	47.09	-21.46	1937.836022
379	47.09	-21.45	1948.836022
380	46.616	-21.414	1975.938172
381	-63.98	-21.41	1937.002688
382	46.93	-21.32	1976.188172
383	55.478	-21.318	1926.986559
384	30.52002	-21.24842	1926.252688
385	48.351	-21.236	1974.615591
386	46.79	-21.23	1975.091398
387	48.35	-21.22	1947.647849
388	24.88333333	-21.18333333	1989
389	24.58333333	-21.16666667	1989
390	43.867	-21.127	1937.672043
391	47.212	-21.113	1974.997312
392	47.21	-21.1	1974.932796
393	-67.969	-21.058	1938.586022
394	24.41666667	-21.05	1944
395	55.698	-20.992	1926.663978
396	47.16	-20.99	1978.965054
397	47.10526	-20.96529	1982.244624
398	165.61	-20.92	1941.889785
399	44.2	-20.9	1937.672043
400	46.875	-20.871	1965.884409
